Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Alzheimer disease	7/369	0.24918054254836766	0.8838195775645369	0	0	1.3918338844502864	1.9340611536491914	WNT6;COX7B;PSMB5;PSMB2;PSMC1;SDHD;NAE1
Epithelial cell signaling in Helicobacter pylori infection	2/70	0.2516103104282245	0.8838195775645369	0	0	2.1099184199227135	2.9114210962034237	MAPK12;ATP6V1B1
Prolactin signaling pathway	2/70	0.2516103104282245	0.8838195775645369	0	0	2.1099184199227135	2.9114210962034237	TH;MAPK12
RNA transport	4/186	0.2556783065172393	0.8838195775645369	0	0	1.5790239172592113	2.153528462959638	NUP205;NUP153;NUP43;RPP25
Osteoclast differentiation	3/127	0.25603334597513167	0.8838195775645369	0	0	1.7369727047146402	2.36653426721839	ACP5;MAP3K7;MAPK12
Adherens junction	2/71	0.25672917036508236	0.8838195775645369	0	0	2.0792341055749497	2.8272043956613406	FER;MAP3K7
Terpenoid backbone biosynthesis	1/22	0.2635216222180054	0.8838195775645369	0	0	3.4117748917748916	4.550010741967845	MVD
Endocytosis	5/252	0.26899470610029047	0.8838195775645369	0	0	1.4548754799288883	1.910344005400055	PSD;RABEP1;HLA-C;STAM2;SNX5
FoxO signaling pathway	3/131	0.27091992947784177	0.8838195775645369	0	0	1.682348901098901	2.1970332061295594	PLK2;ATG12;MAPK12
Natural killer cell mediated cytotoxicity	3/131	0.27091992947784177	0.8838195775645369	0	0	1.682348901098901	2.1970332061295594	PRF1;HLA-C;ITGAL
Mismatch repair	1/23	0.2736962007146417	0.8838195775645369	0	0	3.256528925619835	4.219603536284625	RFC5
Oxidative phosphorylation	3/133	0.27839971119711976	0.8838195775645369	0	0	1.656297548605241	2.117903348968605	COX7B;SDHD;ATP6V1B1
Leishmaniasis	2/77	0.2874442173555809	0.8838195775645369	0	0	1.9123114355231143	2.3841292743817197	MAP3K7;MAPK12
Synaptic vesicle cycle	2/78	0.2925548228466595	0.8838195775645369	0	0	1.8870533999231656	2.319383374939756	SNAP25;ATP6V1B1
Measles	3/139	0.3009438909052072	0.8838195775645369	0	0	1.5827407886231415	1.900604901239148	OAS1;EIF2AK1;MAP3K7
Folate biosynthesis	1/26	0.30338722548789504	0.8838195775645369	0	0	2.865309090909091	3.4175840013048213	TH
Maturity onset diabetes of the young	1/26	0.30338722548789504	0.8838195775645369	0	0	2.865309090909091	3.4175840013048213	MNX1
Collecting duct acid secretion	1/27	0.31301298014901807	0.8838195775645369	0	0	2.7549650349650348	3.199921143573739	ATP6V1B1
Pathways of neurodegeneration	8/475	0.33401529398268537	0.8838195775645369	0	0	1.2309118220460864	1.3497791262546708	WNT6;COX7B;VCP;PSMB5;PSMB2;PSMC1;SDHD;MAPK12
Human immunodeficiency virus 1 infection	4/212	0.33587547521928296	0.8838195775645369	0	0	1.3798076923076923	1.5053906095677398	HLA-C;PAK2;MAP3K7;MAPK12
Citrate cycle (TCA cycle)	1/30	0.34110229397142106	0.8838195775645369	0	0	2.4695924764890282	2.6562266537476993	SDHD
Pentose phosphate pathway	1/30	0.34110229397142106	0.8838195775645369	0	0	2.4695924764890282	2.6562266537476993	PFKP
Galactose metabolism	1/31	0.35020872678898146	0.8838195775645369	0	0	2.387151515151515	2.504661292401895	PFKP
Regulation of actin cytoskeleton	4/218	0.35464966998870834	0.8838195775645369	0	0	1.3407091808686091	1.3898124157855531	MYL5;ITGAL;PAK2;MYL12A
mTOR signaling pathway	3/154	0.35751494819446067	0.8838195775645369	0	0	1.424423258860345	1.4651305757337107	WNT6;RRAGC;ATP6V1B1
Non-alcoholic fatty liver disease	3/155	0.3612756082960395	0.8838195775645369	0	0	1.4149797570850202	1.440610918384207	COX7B;SDHD;MAPK12
Cellular senescence	3/156	0.36503301717473335	0.8838195775645369	0	0	1.4056596997773467	1.4165781214027993	HLA-C;HUS1;MAPK12
SNARE interactions in vesicular transport	1/33	0.3680470896701965	0.8838195775645369	0	0	2.237727272727273	2.236707737193054	VAMP3
Base excision repair	1/33	0.3680470896701965	0.8838195775645369	0	0	2.237727272727273	2.236707737193054	LIG3
Fructose and mannose metabolism	1/33	0.3680470896701965	0.8838195775645369	0	0	2.237727272727273	2.236707737193054	PFKP
TGF-beta signaling pathway	2/94	0.37315192179583256	0.8838195775645369	0	0	1.5576007616629641	1.535435550221207	CHRD;RGMB
IL-17 signaling pathway	2/94	0.37315192179583256	0.8838195775645369	0	0	1.5576007616629641	1.535435550221207	MAP3K7;MAPK12
Propanoate metabolism	1/34	0.3767824378972983	0.8838195775645369	0	0	2.1698071625344353	2.1179213144341844	MMUT
Phosphatidylinositol signaling system	2/97	0.3878921050702396	0.8838195775645369	0	0	1.508182865923934	1.4282914902418515	MTMR1;DGKQ
Tyrosine metabolism	1/36	0.39389383866091626	0.8838195775645369	0	0	2.0456103896103897	1.905841709362746	TH
DNA replication	1/36	0.39389383866091626	0.8838195775645369	0	0	2.0456103896103897	1.905841709362746	RFC5
Tight junction	3/169	0.4134470988365256	0.8838195775645369	0	0	1.294717330861909	1.143527630953865	MARVELD2;MYL12A;TJP3
NF-kappa B signaling pathway	2/104	0.42166689793548756	0.8838195775645369	0	0	1.404179189924145	1.2125643613059882	CCL4L2;MAP3K7
Glycine, serine and threonine metabolism	1/40	0.42672490765327314	0.8838195775645369	0	0	1.8354312354312354	1.5630820889238524	AGXT
HIF-1 signaling pathway	2/109	0.44520007372840725	0.8838195775645369	0	0	1.338222252541101	1.0829315926922531	ENO2;PFKP
Salmonella infection	4/249	0.45077649065144115	0.8838195775645369	0	0	1.1692076830732292	0.931605563528385	MYL5;MAP3K7;MYL12A;MAPK12
Vasopressin-regulated water reabsorption	1/44	0.45778369973546607	0.8838195775645369	0	0	1.6643551797040168	1.3004580296374064	ARHGDIG
TNF signaling pathway	2/112	0.4590626764772202	0.8838195775645369	0	0	1.3015262110152621	1.0133273465035706	MAP3K7;MAPK12
Axon guidance	3/182	0.4606534332291305	0.8838195775645369	0	0	1.1998894959788815	0.9300454958403702	MYL5;PAK2;MYL12A
Basal transcription factors	1/45	0.4652827666992858	0.8838195775645369	0	0	1.6264462809917355	1.244410245388105	TAF2
Carbohydrate digestion and absorption	1/47	0.47997228548610915	0.8838195775645369	0	0	1.5555731225296443	1.1418325406816223	SLC2A5
Nucleotide excision repair	1/47	0.47997228548610915	0.8838195775645369	0	0	1.5555731225296443	1.1418325406816223	RFC5
Human papillomavirus infection	5/331	0.4823326136828945	0.8838195775645369	0	0	1.0978425735177597	0.8004604406699652	WNT6;PSMC1;HLA-C;RFNG;ATP6V1B1
Neutrophil extracellular trap formation	3/189	0.4853969244058685	0.8838195775645369	0	0	1.1543187994800899	0.8343281480313505	ITGAL;MAP3K7;MAPK12
Amino sugar and nucleotide sugar metabolism	1/48	0.4871655560123716	0.8838195775645369	0	0	1.5223984526112186	1.094834769871367	UAP1L1
Valine, leucine and isoleucine degradation	1/48	0.4871655560123716	0.8838195775645369	0	0	1.5223984526112186	1.094834769871367	MMUT
Sphingolipid signaling pathway	2/119	0.49061026909034905	0.8838195775645369	0	0	1.2232204130014348	0.8710616360248333	SPHK2;MAPK12
Neurotrophin signaling pathway	2/119	0.49061026909034905	0.8838195775645369	0	0	1.2232204130014348	0.8710616360248333	ARHGDIG;MAPK12
Sphingolipid metabolism	1/49	0.4942596811118589	0.8838195775645369	0	0	1.4906060606060607	1.0504214895807324	SPHK2
Cocaine addiction	1/49	0.4942596811118589	0.8838195775645369	0	0	1.4906060606060607	1.0504214895807324	TH
AMPK signaling pathway	2/120	0.49502245532773176	0.8838195775645369	0	0	1.2127922800940245	0.8527775030644464	MAP3K7;PFKP
Vibrio cholerae infection	1/50	0.50125602230015	0.8838195775645369	0	0	1.4601113172541744	1.0084087773272883	ATP6V1B1
Ovarian steroidogenesis	1/51	0.5081559225671334	0.8838195775645369	0	0	1.4308363636363637	0.9686289209000377	ALOX5
Pathogenic Escherichia coli infection	3/197	0.512993789974173	0.8838195775645369	0	0	1.1062648691514672	0.7384224402707421	PAK2;MAP3K7;MAPK12
Focal adhesion	3/201	0.5264966594751687	0.8838195775645369	0	0	1.0836940836940836	0.6952009082911426	MYL5;PAK2;MYL12A
Lysosome	2/128	0.5294337279725891	0.8838195775645369	0	0	1.13532614992469	0.7220075785583772	IDUA;ACP5
Diabetic cardiomyopathy	3/203	0.5331705135436566	0.8838195775645369	0	0	1.0727472527472528	0.6746657583526788	COX7B;SDHD;MAPK12
Purine metabolism	2/129	0.5336222363061239	0.8838195775645369	0	0	1.1263290993735273	0.7074102657439499	ADA2;ADSS2
Herpes simplex virus 1 infection	7/498	0.5336806964529044	0.8838195775645369	0	0	1.0193217695470136	0.640090816948239	OAS1;EIF2AK1;ZNF517;HLA-C;SRSF3;TNFRSF14;MAP3K7
Dopaminergic synapse	2/132	0.5460344812613772	0.8838195775645369	0	0	1.100168444693992	0.6656823893737478	TH;MAPK12
Yersinia infection	2/137	0.5662057060304608	0.8838195775645369	0	0	1.0591511219248446	0.6024428582997928	MAP3K7;MAPK12
Steroid hormone biosynthesis	1/61	0.5721333131455478	0.8838195775645369	0	0	1.1917575757575758	0.6654574681467175	DHRS11
Arachidonic acid metabolism	1/61	0.5721333131455478	0.8838195775645369	0	0	1.1917575757575758	0.6654574681467175	ALOX5
Glycerolipid metabolism	1/61	0.5721333131455478	0.8838195775645369	0	0	1.1917575757575758	0.6654574681467175	DGKQ
Fluid shear stress and atherosclerosis	2/139	0.5740921816292421	0.8838195775645369	0	0	1.0435825030635622	0.5791520772878426	MAP3K7;MAPK12
Ubiquitin mediated proteolysis	2/140	0.5779962366454431	0.8838195775645369	0	0	1.0359674177509786	0.5679048252973361	SIAH1;UBA3
MAPK signaling pathway	4/294	0.5805366180403607	0.8838195775645369	0	0	0.9854969574036511	0.5359156102944976	MAP4K1;PAK2;MAP3K7;MAPK12
Basal cell carcinoma	1/63	0.5838968380642632	0.8838195775645369	0	0	1.1531964809384163	0.6204554084487307	WNT6
Lysine degradation	1/63	0.5838968380642632	0.8838195775645369	0	0	1.1531964809384163	0.6204554084487307	SMYD2
Apoptosis	2/142	0.5857258325824529	0.8838195775645369	0	0	1.0210636079249218	0.5461704581622792	PRF1;CASP2
Signaling pathways regulating pluripotency of stem cells	2/143	0.5895513312854078	0.8838195775645369	0	0	1.0137702541802558	0.5356695994445047	WNT6;MAPK12
GnRH secretion	1/64	0.5896571894972652	0.8838195775645369	0	0	1.1348340548340548	0.5994351738173496	HCN3
Human cytomegalovirus infection	3/225	0.6029195686688256	0.8838195775645369	0	0	0.9653499653499653	0.48843954725301986	CCL4L2;HLA-C;MAPK12
Breast cancer	2/147	0.6045910930320101	0.8838195775645369	0	0	0.9856028190284419	0.49595822511602	WNT6;DLL1
Phospholipase D signaling pathway	2/148	0.608285475951702	0.8838195775645369	0	0	0.9788021197880212	0.48657327550938906	SPHK2;DGKQ
Amphetamine addiction	1/69	0.6172886783476347	0.8838195775645369	0	0	1.0511229946524063	0.5070811682528621	TH
Renal cell carcinoma	1/69	0.6172886783476347	0.8838195775645369	0	0	1.0511229946524063	0.5070811682528621	PAK2
Central carbon metabolism in cancer	1/70	0.6225883606507104	0.8838195775645369	0	0	1.035836627140975	0.4908516082180359	PFKP
Thermogenesis	3/232	0.6236255683764675	0.8838195775645369	0	0	0.9355055424924421	0.44175052696742684	COX7B;SDHD;MAPK12
Coronavirus disease	3/232	0.6236255683764675	0.8838195775645369	0	0	0.9355055424924421	0.44175052696742684	OAS1;MAP3K7;MAPK12
Cushing syndrome	2/155	0.6334136668016012	0.8838195775645369	0	0	0.933686369925099	0.4263506713256612	WNT6;RASD1
p53 signaling pathway	1/73	0.6380526553882908	0.8838195775645369	0	0	0.9925252525252525	0.4459758054131823	SIAH1
Inositol phosphate metabolism	1/73	0.6380526553882908	0.8838195775645369	0	0	0.9925252525252525	0.4459758054131823	MTMR1
Hepatitis C	2/157	0.6403586371906993	0.8838195775645369	0	0	0.9215446197315752	0.41075721639716944	OAS1;EIF2AK1
Ribosome	2/158	0.6437922472462357	0.8838195775645369	0	0	0.915590492232828	0.4032070106645449	MRPS10;MRPS21
Pertussis	1/76	0.6528855055393624	0.8838195775645369	0	0	0.9526787878787879	0.40617793669249314	MAPK12
Hepatitis B	2/162	0.6572688014885896	0.8838195775645369	0	0	0.8925182481751824	0.37455618003440716	MAP3K7;MAPK12
Hippo signaling pathway	2/163	0.6605737767017051	0.8838195775645369	0	0	0.8869293194904112	0.36776210525420766	WNT6;NKD2
Antigen processing and presentation	1/78	0.6624360011205465	0.8838195775645369	0	0	0.9278394332939788	0.38211334586382606	HLA-C
B cell receptor signaling pathway	1/81	0.6762730239402456	0.8838195775645369	0	0	0.8929090909090909	0.34926889394289956	CD72
Peroxisome	1/82	0.6807586039152849	0.8838195775645369	0	0	0.8818406285072952	0.33910961670249895	AGXT
Complement and coagulation cascades	1/85	0.6938471556921841	0.8838195775645369	0	0	0.8502164502164502	0.3107571558918111	F10
ErbB signaling pathway	1/85	0.6938471556921841	0.8838195775645369	0	0	0.8502164502164502	0.3107571558918111	PAK2
Insulin secretion	1/86	0.6980900781387525	0.8838195775645369	0	0	0.8401711229946524	0.30196349435292896	SNAP25
Cardiac muscle contraction	1/87	0.7022744083141939	0.8838195775645369	0	0	0.8303594080338267	0.29347480269121895	COX7B
PD-L1 expression and PD-1 checkpoint pathway in cancer	1/89	0.7104705058815143	0.8838195775645369	0	0	0.8114049586776859	0.2773608077046106	MAPK12
Tuberculosis	2/180	0.7129192353971988	0.8838195775645369	0	0	0.801525465430985	0.27122590934059937	SPHK2;MAPK12
GnRH signaling pathway	1/93	0.726194335892865	0.8838195775645369	0	0	0.7759683794466403	0.24826147627029915	MAPK12
Staphylococcus aureus infection	1/95	0.733734192807103	0.8838195775645369	0	0	0.7593810444874275	0.23511078897433127	ITGAL
Circadian entrainment	1/97	0.7410671529729546	0.8838195775645369	0	0	0.7434848484848485	0.2227956681694442	RASD1
Fc gamma R-mediated phagocytosis	1/97	0.7410671529729546	0.8838195775645369	0	0	0.7434848484848485	0.2227956681694442	SPHK2
Choline metabolism in cancer	1/98	0.7446578206510679	0.8838195775645369	0	0	0.7357825679475164	0.21693111830469688	DGKQ
mRNA surveillance pathway	1/98	0.7446578206510679	0.8838195775645369	0	0	0.7357825679475164	0.21693111830469688	CPSF2
Glycerophospholipid metabolism	1/98	0.7446578206510679	0.8838195775645369	0	0	0.7357825679475164	0.21693111830469688	DGKQ
Inflammatory mediator regulation of TRP channels	1/98	0.7446578206510679	0.8838195775645369	0	0	0.7357825679475164	0.21693111830469688	MAPK12
Chemokine signaling pathway	2/192	0.745672586990665	0.8838195775645369	0	0	0.7504417979254706	0.22023115376270083	CCL4L2;CCR7
Kaposi sarcoma-associated herpesvirus infection	2/193	0.7482524969091009	0.8838195775645369	0	0	0.7464745672029656	0.21648866877150194	HLA-C;MAPK12
AGE-RAGE signaling pathway in diabetic complications	1/100	0.7516909944782434	0.8838195775645369	0	0	0.7208448117539027	0.205750699353518	MAPK12
Progesterone-mediated oocyte maturation	1/100	0.7516909944782434	0.8838195775645369	0	0	0.7208448117539027	0.205750699353518	MAPK12
Melanogenesis	1/101	0.7551348574934003	0.8838195775645369	0	0	0.7136	0.20042092994116964	WNT6
Chagas disease	1/102	0.7585311269665163	0.8838195775645369	0	0	0.7064986498649864	0.1952560516979096	MAPK12
C-type lectin receptor signaling pathway	1/104	0.7651834976199129	0.8838195775645369	0	0	0.6927096204766108	0.18539653110836773	MAPK12
Viral carcinogenesis	2/203	0.7728384269753921	0.8838195775645369	0	0	0.7089733812688382	0.18269199928285404	PSMC1;HLA-C
Th17 cell differentiation	1/107	0.7748211967870505	0.8838195775645369	0	0	0.6730017152658662	0.17169820992118892	MAPK12
Glucagon signaling pathway	1/107	0.7748211967870505	0.8838195775645369	0	0	0.6730017152658662	0.17169820992118892	PFKP
Cytokine-cytokine receptor interaction	3/295	0.7763108311638868	0.8838195775645369	0	0	0.7312961011591148	0.1851658426377033	CCL4L2;CCR7;TNFRSF14
Proteoglycans in cancer	2/205	0.777497612191598	0.8838195775645369	0	0	0.7019165078566035	0.17665463080026145	WNT6;MAPK12
Insulin resistance	1/108	0.7779453573354517	0.8838195775645369	0	0	0.666677994902294	0.16740217254698833	OGT
Rap1 signaling pathway	2/210	0.7887823257867947	0.8903074573726893	0	0	0.6848680516563729	0.16249513773689167	ITGAL;MAPK12
Serotonergic synapse	1/113	0.7929300792225515	0.8903074573726893	0	0	0.6367532467532467	0.14773963713093838	ALOX5
Lipid and atherosclerosis	2/215	0.7995614255170086	0.8925336842980561	0	0	0.6686199924608478	0.1495648896930782	MAP3K7;MAPK12
Human T-cell leukemia virus 1 infection	2/219	0.8078319125265097	0.8933379121050422	0	0	0.6561606512159844	0.14002551705035715	HLA-C;ITGAL
Growth hormone synthesis, secretion and action	1/119	0.8095874828451946	0.8933379121050422	0	0	0.604191063174114	0.12762354501315085	MAPK12
Thyroid hormone signaling pathway	1/121	0.8148377138674555	0.8939933775002941	0	0	0.5940606060606061	0.12164359801629625	PFKP
Oocyte meiosis	1/129	0.8344350404092146	0.9051498743421988	0	0	0.5567045454545455	0.100763735076396	MAPK12
Relaxin signaling pathway	1/129	0.8344350404092146	0.9051498743421988	0	0	0.5567045454545455	0.100763735076396	MAPK12
Calcium signaling pathway	2/240	0.8464584382576528	0.9130338210419625	0	0	0.5976200699257805	0.0996197856859164	SPHK2;P2RX1
Apelin signaling pathway	1/137	0.851964903943556	0.9138394500400153	0	0	0.5237433155080214	0.08390888806273843	SPHK2
Retrograde endocannabinoid signaling	1/148	0.8730880589669681	0.9247568697571763	0	0	0.4842795299938157	0.06572586517591993	MAPK12
Gastric cancer	1/149	0.8748524756270954	0.9247568697571763	0	0	0.480982800982801	0.06430740343612101	WNT6
Adrenergic signaling in cardiomyocytes	1/150	0.8765924494573234	0.9247568697571763	0	0	0.4777303233679073	0.06292334399304442	MAPK12
JAK-STAT signaling pathway	1/162	0.895683880148367	0.9397339070409096	0	0	0.44185206098249574	0.048677843235479336	STAM2
Hepatocellular carcinoma	1/168	0.9040953435475146	0.9434038367452326	0	0	0.4258464888405008	0.04293403703136024	WNT6
Influenza A	1/172	0.9093239902465954	0.9437308439316018	0	0	0.4158001063264221	0.03952338987444974	OAS1
Alcoholism	1/186	0.9254859452297833	0.9553403305597763	0	0	0.38405896805896805	0.02974011822726308	TH
Transcriptional misregulation in cancer	1/192	0.9315013097162187	0.9564077618476685	0	0	0.3718800571156592	0.026387747174206857	CCNT1
Ras signaling pathway	1/232	0.9609434312612111	0.979915866320231	0	0	0.30685556867375047	0.012225044906499151	PAK2
Chemical carcinogenesis	1/239	0.9646046809089774	0.979915866320231	0	0	0.29772345301757064	0.010729035860962504	DLL1
MicroRNAs in cancer	1/310	0.986982801649501	0.9951199651159783	0	0	0.2284789644012945	0.0029936832328403295	CDCA5
Neuroactive ligand-receptor interaction	1/341	0.9915982917379189	0.9951199651159783	0	0	0.20731550802139037	0.0017491627267830817	P2RX1
Pathways in cancer	2/531	0.9951199651159783	0.9951199651159783	0	0	0.26485725718543457	0.0012956767057564437	WNT6;DLL1
